Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W),Detectivity (Jones)
206,2,1.96,0.14,0.5,88.17,15.89,Ag,4.26,Lateral,9.5,0.01,0.00387,2.92E+10
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.003,60,3.10E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.005,30,2.20E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.01,18,1.80E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.015,10,1.78E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.02,7,1.76E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.025,6.5,1.75E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.03,6,1.70E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.035,2.4,1.49E+11
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.04,2,1.48E+11
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.003,48,6.20E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.005,21,3.10E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.009,18,2.12E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.015,17,2.00E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.031,11,1.45E+12
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.064,9,2.00E+12
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,5,0.1,5.40E-03,1.07E+13
206,3,1.86,0.13,0.5,122.19,11.46,Cr/Au,4.8,FET,9,3.80E-08,149,2.00E+12
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,Sandwich,5,5.69E-05,16,1.92E+11
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,Lateral,3,1.96E-03,3.29E+03,2.06E+11
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,FET,0.5,0.546,260,6.00E+09
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-06,0.0938,1.86E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.02E-05,0.1235,3.00E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,3.94E-05,0.4765,8.26E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-04,0.4272,7.75E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,3.51E-04,0.4617,8.00E+11
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-03,0.4543,8.00E+11
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,1.20E-07,0.0385,541666666.7
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,2.12E-07,0.0282,375000000
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,3.88E-07,0.0154,250000000
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,8.37E-07,0.0179,291666666.7
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,1.17E-06,0.0154,250000000
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,1.59E-06,0.0128,208333333.3
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,2.01E-06,0.0103,208333333.3
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,2.31E-06,0.0103,208333333.3
196,1,2.17,0.39,0.44,122.19,11.46,Au,5.1,Lateral,5,4.00E-03,0.0013,2831.12
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.985507246,0.013,12.57007151,3043.993415
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.863768116,0.013,8.717608292,2777.848839
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.742028986,0.013,5.77549755,2534.974003
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.623188406,0.013,4.005428712,2534.974003
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.501449275,0.013,2.421619808,1926.496445
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.382608696,0.013,1.276322028,1604.345917
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.260869565,0.013,0.613874326,1464.073615
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.139130435,0.013,0.224384771,1015.365766
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,-0.023188406,0.013,0.02997928,586.4242492
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.017391304,0.013,0.002777849,257.392582
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.057971014,0.013,0.013158467,535.1515913
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.182608696,0.013,0.214351155,1112.64755
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.301449275,0.013,0.613874326,1336.065699
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.423188406,0.013,1.276322028,1758.057651
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.539130435,0.013,2.421619808,2111.073292
196,1,2.17,0.39,0.44,122.19,11.46,Al,4.28,Sandwich,0.660869565,0.013,4.594641761,2534.974003
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,Sandwich,3,0.23,3.29E+03,2.06E+11
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,1.00E-03,1.00E+11
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,1.00E-02,5.00E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,0.01,1.00E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.3,2.00E-04,1,1.00E+13
206,1,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,0.01,4.00E+11
206,2,1.96,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,0.06,6.00E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,0.12,2.00E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.6,2.00E-04,5.9,5.00E+13
206,2,1.96,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,50,1.20E+13
206,3,1.86,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1000,6.80E+14
206,4,1.85,0.5,0.5,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1.00E+04,1.00E+17
206,5,1.6,0.48,0.48,74.15,18.89,Cr/Au,4.8,FET,5,0.1,1200,4.50E+13
