Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W)
206,2,1.96,0.14,0.5,88.17,15.89,Ag,4.26,Lateral,9.5,0.01,0.00387
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.003,60
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.005,30
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.01,18
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.015,10
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.02,7
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.025,6.5
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.03,6
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.035,2.4
206,2,1.96,0.14,0.5,88.17,15.89,Au,5.1,Lateral,10,0.04,2
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.003,48
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.005,21
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.009,18
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.015,17
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.031,11
206,2,1.68,0.5,0.49,88.17,15.89,Au,5.1,Lateral,5,0.064,9
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,5,0.1,5.40E-03
206,3,1.86,0.13,0.5,122.19,11.46,Cr/Au,4.8,FET,9,3.80E-08,149
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,Sandwich,5,5.69E-05,16
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,Lateral,3,1.96E-03,3.29E+03
206,1,1.88,0.19,0.5,122.19,11.46,Au,5.1,FET,0.5,0.546,260
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-06,0.0938
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.02E-05,0.1235
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,3.94E-05,0.4765
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-04,0.4272
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,3.51E-04,0.4617
206,4,1.55,0.13,0.15,122.19,11.46,Au,5.1,FET,0,1.00E-03,0.4543
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,1.20E-07,0.0385
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,2.12E-07,0.0282
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,3.88E-07,0.0154
206,1,2.06,0.14,0.5,122.19,11.46,Au,5.1,Lateral,10,8.37E-07,0.0179
